,Brand,Model,Battery Size (kWh),Segment,Powertrian,BodyStyle,Seats,0 - 62 MPH (Sec),Top Speed (MPH),Range (Mi),Efficiency (Wh/mi),Euro,0 - 62 MPH (Sec) Estimation,Top Speed (MPH) Estimation,Range (Mi) Estimation,Efficiency (Wh/mi) Estimation,0_62_mph_raw,top_speed_raw,range_raw,efficiency_raw
0,Aiways,U5,63.0,C,FWD,SUV,5,7.5,93*,210*,300*,35993.0,0,1,1,1,7.5,93.0,210.0,300.0
1,Audi,e-tron 50 quattro,64.7,E,AWD,SUV,5,6.8,118,260,365,69100.0,0,0,0,0,6.8,118.0,260.0,365.0
2,Audi,e-tron 55 quattro,86.5,E,AWD,SUV,5,5.7,124,250,380,79445.0,0,0,0,0,5.7,124.0,250.0,380.0
3,Audi,e-tron GT quattro,85.0,F,AWD,Sedan,4,4.1,152,205*,325*,99800.0,0,0,1,1,4.1,152.0,205.0,325.0
4,Audi,e-tron GT RS,85.0,F,AWD,Sedan,4,3.3,155,175*,340*,138200.0,0,0,1,1,3.3,155.0,175.0,340.0
5,Audi,e-tron S 55 quattro,86.5,E,AWD,SUV,5,4.5,130,250*,430*,93800.0,0,0,1,1,4.5,130.0,250.0,430.0
6,Audi,e-tron S Sportback 55 quattro,86.5,E,AWD,SUV,5,4.5,130,240*,420*,96050.0,0,0,1,1,4.5,130.0,240.0,420.0
7,Audi,e-tron Sportback 50 quattro,64.7,E,AWD,SUV,5,6.8,118,240,355,71350.0,0,0,0,0,6.8,118.0,240.0,355.0
8,Audi,e-tron Sportback 55 quattro,86.5,E,AWD,SUV,5,5.7,124,180,375,99800.0,0,0,0,0,5.7,124.0,180.0,375.0
9,Audi,e-tron Sportback 55 quattro,86.5,E,AWD,SUV,5,5.7,124,265,375,83750.0,0,0,0,0,5.7,124.0,265.0,375.0
10,Audi,Q4 e-tron 35,51.5,C,RWD,SUV,5,9,99,250*,290*,41900.0,0,0,1,1,9.0,99.0,250.0,290.0
11,Audi,Q4 e-tron 40,76.6,C,RWD,SUV,5,8.5,99,295*,305*,47500.0,0,0,1,1,8.5,99.0,295.0,305.0
12,Audi,Q4 e-tron 45 quattro,76.6,C,AWD,SUV,5,6.9,112,280*,315*,50900.0,0,0,1,1,6.9,112.0,280.0,315.0
13,Audi,Q4 e-tron 50 quattro,76.6,C,AWD,SUV,5,6.2,112,215*,315*,53600.0,0,0,1,1,6.2,112.0,215.0,315.0
14,Audi,Q4 Sportback e-tron 35,51.5,C,RWD,SUV,5,9,99,315*,285*,43900.0,0,0,1,1,9.0,99.0,315.0,285.0
15,Audi,Q4 Sportback e-tron 40,76.6,C,RWD,SUV,5,8.5,99,200*,285*,49500.0,0,0,1,1,8.5,99.0,200.0,285.0
16,Audi,Q4 Sportback e-tron 50 quattro,76.6,C,AWD,SUV,5,6.2,112,250*,305*,55600.0,0,0,1,1,6.2,112.0,250.0,305.0
17,BMW,i3 120 Ah,37.9,B,RWD,Hatchback,4,7.3,93,245,260,39000.0,0,0,0,0,7.3,93.0,245.0,260.0
18,BMW,i3s 120 Ah,37.9,B,RWD,Hatchback,4,6.9,99,155,270,42600.0,0,0,0,0,6.9,99.0,155.0,270.0
19,BMW,i4 eDrive40,80.7,D,RWD,Sedan,5,5.7,118,110*,270*,58300.0,0,0,1,1,5.7,118.0,110.0,270.0
20,BMW,i4 M50,80.7,D,AWD,Sedan,5,3.9,140,155*,285*,69900.0,0,0,1,1,3.9,140.0,155.0,285.0
21,BMW,iX xDrive40,71.0,E,AWD,SUV,5,6.1,124,110*,330*,77300.0,0,0,1,1,6.1,124.0,110.0,330.0
22,BMW,iX xDrive50,105.2,E,AWD,SUV,5,4.6,124,155*,330*,98000.0,0,0,1,1,4.6,124.0,155.0,330.0
23,BMW,iX3,74.0,D,RWD,SUV,5,6.8,112,110,305,67300.0,0,0,0,0,6.8,112.0,110.0,305.0
24,Byton,M-Byte 72 kWh 2WD,72.0,E,RWD,SUV,5,7.5,118,170*,360*,53500.0,0,0,1,1,7.5,118.0,170.0,360.0
25,Byton,M-Byte 95 kWh 2WD,95.0,E,AWD,SUV,5,7.5,118,215*,380*,62000.0,0,0,1,1,7.5,118.0,215.0,380.0
26,Byton,M-Byte 95 kWh 4WD,95.0,E,AWD,SUV,5,5.5,118,215*,385*,64000.0,0,0,1,1,5.5,118.0,215.0,385.0
27,Citroen,e-C4,45.0,C,FWD,Hatchback,5,9.7,93,280*,290*,34640.0,0,0,1,1,9.7,93.0,280.0,290.0
28,Citroen,e-SpaceTourer M 50 kWh,45.0,M,FWD,Mini Van,9,12.1,81,105*,405*,51440.0,0,0,1,1,12.1,81.0,105.0,405.0
29,Citroen,e-SpaceTourer M 75 kWh,65.0,M,FWD,Mini Van,9,13.3,81,150*,415*,57440.0,0,0,1,1,13.3,81.0,150.0,415.0
