Brand,Model,Battery Size (kWh),Segment,Powertrian,BodyStyle,Seats,0 - 62 MPH (Sec),Top Speed (MPH),Range (Mi),Efficiency (Wh/mi),Euro
Aiways,U5,63,C,FWD,SUV,5,7.5,93*,210*,300*,35993
Audi,e-tron 50 quattro,64.7,E,AWD,SUV,5,6.8,118,260,365,69100
Audi,e-tron 55 quattro,86.5,E,AWD,SUV,5,5.7,124,250,380,79445
Audi,e-tron GT quattro,85,F,AWD,Sedan,4,4.1,152,205*,325*,99800
Audi,e-tron GT RS,85,F,AWD,Sedan,4,3.3,155,175*,340*,138200
Audi,e-tron S 55 quattro,86.5,E,AWD,SUV,5,4.5,130,250*,430*,93800
Audi,e-tron S Sportback 55 quattro,86.5,E,AWD,SUV,5,4.5,130,240*,420*,96050
Audi,e-tron Sportback 50 quattro,64.7,E,AWD,SUV,5,6.8,118,240,355,71350
Audi,e-tron Sportback 55 quattro,86.5,E,AWD,SUV,5,5.7,124,180,375,99800
Audi,e-tron Sportback 55 quattro,86.5,E,AWD,SUV,5,5.7,124,265,375,83750
Audi,Q4 e-tron 35,51.5,C,RWD,SUV,5,9,99,250*,290*,41900
Audi,Q4 e-tron 40,76.6,C,RWD,SUV,5,8.5,99,295*,305*,47500
Audi,Q4 e-tron 45 quattro,76.6,C,AWD,SUV,5,6.9,112,280*,315*,50900
Audi,Q4 e-tron 50 quattro,76.6,C,AWD,SUV,5,6.2,112,215*,315*,53600
Audi,Q4 Sportback e-tron 35,51.5,C,RWD,SUV,5,9,99,315*,285*,43900
Audi,Q4 Sportback e-tron 40,76.6,C,RWD,SUV,5,8.5,99,200*,285*,49500
Audi,Q4 Sportback e-tron 50 quattro,76.6,C,AWD,SUV,5,6.2,112,250*,305*,55600
BMW,i3 120 Ah,37.9,B,RWD,Hatchback,4,7.3,93,245,260,39000
BMW,i3s 120 Ah,37.9,B,RWD,Hatchback,4,6.9,99,155,270,42600
BMW,i4 eDrive40,80.7,D,RWD,Sedan,5,5.7,118,110*,270*,58300
BMW,i4 M50,80.7,D,AWD,Sedan,5,3.9,140,155*,285*,69900
BMW,iX xDrive40,71,E,AWD,SUV,5,6.1,124,110*,330*,77300
BMW,iX xDrive50,105.2,E,AWD,SUV,5,4.6,124,155*,330*,98000
BMW,iX3,74,D,RWD,SUV,5,6.8,112,110,305,67300
Byton,M-Byte 72 kWh 2WD,72,E,RWD,SUV,5,7.5,118,170*,360*,53500
Byton,M-Byte 95 kWh 2WD,95,E,AWD,SUV,5,7.5,118,215*,380*,62000
Byton,M-Byte 95 kWh 4WD,95,E,AWD,SUV,5,5.5,118,215*,385*,64000
Citroen,e-C4,45,C,FWD,Hatchback,5,9.7,93,280*,290*,34640
Citroen,e-SpaceTourer M 50 kWh,45,M,FWD,Mini Van,9,12.1,81,105*,405*,51440
Citroen,e-SpaceTourer M 75 kWh,65,M,FWD,Mini Van,9,13.3,81,150*,415*,57440
Citroen,e-SpaceTourer XL 50 kWh,45,M,FWD,Mini Van,9,12.1,81,100*,405*,52230
Citroen,e-SpaceTourer XL 75 kWh,65,M,FWD,Mini Van,9,13.3,81,260*,415*,58230
Citroen,e-SpaceTourer XS 50 kWh,45,M,FWD,Mini Van,9,12.1,81,270*,405*,50880
CUPRA,Born 110 kW - 55 kWh,45,C,RWD,Hatchback,5,8.9,99,255*,260*,32700
CUPRA,Born 150 kW - 62 kWh,58,C,RWD,Hatchback,5,7.3,99,205*,265*,37220
CUPRA,Born 170 kW - 62 kWh,58,C,RWD,Hatchback,5,6.6,99,215*,265*,39000
CUPRA,Born 170 kW - 82 kWh,77,C,RWD,Hatchback,5,7,99,240*,275*,43000
Dacia,Spring Electric,26.8,A,FWD,Hatchback,4,15*,78,230*,255*,20490
DS 3,Crossback E-Tense,45,B,FWD,SUV,5,8.7,93,195,290,30040
Fiat,500e 3+1,37.3,B,FWD,Hatchback,4,9,93,190,240,29560
Fiat,500e Cabrio,37.3,B,FWD,Cabrio,4,9,93,155*,245*,30560
Fiat,500e Hatchback 24 kWh,23.8,B,FWD,Hatchback,4,9.5,84,245*,235*,23560
Fiat,500e Hatchback 42 kWh,37.3,B,FWD,Hatchback,4,9,93,235,240,27560
Ford,Mustang Mach-E ER AWD,88,D,AWD,SUV,5,5.8,112,140*,335*,62900
